Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
dayton,905,1725,.525,656,1053,.623,249,672,.371,421,585,.720,242,843,1085,546,176,109,377,529,80.0,.935,19.17,3.69,64.5,1
michigan-state,845,1833,.461,606,1146,.529,239,687,.348,424,565,.750,344,914,1258,549,159,156,389,524,75.9,.710,21.92,10.76,64.7,2
creighton,866,1839,.471,564,1056,.534,302,783,.386,394,533,.739,246,833,1079,489,203,79,337,472,78.3,.774,17.24,9.61,69.7,3
ohio-state,753,1690,.446,492,990,.497,261,700,.373,467,621,.752,308,832,1140,412,156,107,394,531,72.1,.677,19.37,10.24,62.9,4
wisconsin,730,1718,.425,461,954,.483,269,764,.352,353,462,.764,251,800,1051,373,138,114,309,476,67.2,.677,15.95,10.95,62.2,5
michigan,861,1864,.462,614,1135,.541,247,729,.339,357,498,.717,267,852,1119,454,169,140,332,470,75.0,.613,17.94,11.17,68.3,6
virginia,626,1515,.413,456,955,.477,170,560,.304,289,403,.717,243,782,1025,343,161,147,368,397,57.0,.767,12.16,7.50,52.4,7
marquette,759,1764,.430,458,977,.469,301,787,.382,514,692,.743,317,878,1195,406,154,127,410,572,77.8,.600,15.44,9.30,71.6,8
southern-california,781,1780,.439,581,1209,.481,200,571,.350,417,630,.662,333,861,1194,430,207,152,448,519,70.3,.710,11.51,7.22,66.0,9
rutgers,825,1847,.447,653,1293,.505,172,554,.310,346,537,.644,365,880,1245,394,203,142,379,520,69.9,.645,15.72,9.68,62.6,10
east-tennessee-state,919,1936,.475,659,1184,.557,260,752,.346,495,713,.694,370,836,1206,471,278,121,412,598,76.3,.882,7.63,-1.82,63.1,11
stephen-f-austin,887,1806,.491,708,1312,.540,179,494,.362,546,790,.691,406,754,1160,464,324,101,550,649,80.6,.903,4.04,-6.89,67.0,12
cincinnati,763,1713,.445,566,1095,.517,197,618,.319,459,678,.677,329,802,1131,437,196,146,432,540,72.7,.667,12.33,6.73,67.1,13
wichita-state,769,1891,.407,525,1147,.458,244,744,.328,445,638,.697,374,844,1218,437,219,115,396,577,71.8,.742,13.66,5.60,63.8,14
utah-state,905,1967,.460,657,1222,.538,248,745,.333,542,710,.763,366,1019,1385,561,209,109,426,532,76.5,.765,13.66,4.04,64.1,15
north-carolina-central,797,1734,.460,615,1129,.545,182,605,.301,386,591,.653,301,763,1064,420,260,93,472,588,69.7,.581,-10.04,-8.86,66.0,16
