Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
12,2008,ACC,30,7,1,11,5,1,20,9,78,66,8,1,6,Lost Regional Semifinal,2,Mike Krzyzewski (30-7),duke,duke,1181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000004,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000068,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000105,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000004,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000068,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
11,2009,ACC,35,5,1,13,3,1,25,9,77,61,9,3,3,Won National Final,1,Mike Krzyzewski (35-5),duke,duke,1181,1181,2009,1000105,duke,37,7425,971,2186,0,704,1420,0,267,766,0,658,904,1,490,858,1348,492,311,146,454,671,2867,78,1181,2009
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000166,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000212,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000236,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000246,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000254,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000166,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000212,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000236,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000246,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000252,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000252,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
10,2010,ACC,32,5,1,13,3,1,25,8,81,65,1,1,3,Lost Regional Semifinal,1,Mike Krzyzewski (32-5),duke,duke,1181,1181,2010,1000254,duke,40,8000,1049,2375,0,748,1593,0,301,782,0,682,899,1,569,991,1560,555,266,162,429,722,3079,77,1181,2010
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000298,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000346,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000361,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000298,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000346,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
9,2011,ACC,27,7,1,13,3,1,17,8,77,69,6,3,8,Lost Second Round,2,Mike Krzyzewski (27-7),duke,duke,1181,1181,2011,1000361,duke,37,7400,1040,2206,0,749,1428,1,291,778,0,622,826,1,446,953,1399,529,269,162,447,657,2993,81,1181,2011
8,2012,ACC,30,6,1,14,4,1,21,10,77,65,8,1,6,Lost Regional Final,2,Mike Krzyzewski (30-6),duke,duke,1181,1181,2012,1000443,duke,34,6850,874,1915,0,600,1176,1,274,739,0,606,864,1,406,746,1152,423,210,136,415,626,2628,77,1181,2012
8,2012,ACC,30,6,1,14,4,1,21,10,77,65,8,1,6,Lost Regional Final,2,Mike Krzyzewski (30-6),duke,duke,1181,1181,2012,1000443,duke,34,6850,874,1915,0,600,1176,1,274,739,0,606,864,1,406,746,1152,423,210,136,415,626,2628,77,1181,2012
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000566,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000612,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000636,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000649,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000649,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000566,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000612,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
7,2013,ACC,26,9,1,13,5,1,20,8,78,67,4,4,8,Lost Second Round,3,Mike Krzyzewski (26-9),duke,duke,1181,1181,2013,1000636,duke,36,7200,960,2033,0,690,1357,1,270,676,0,588,796,1,337,782,1119,515,232,135,383,645,2778,77,1181,2013
6,2014,ACC,35,4,1,15,3,1,25,10,79,64,4,2,4,Won National Final,1,Mike Krzyzewski (35-4),duke,duke,1181,1181,2014,1000715,duke,35,7025,929,2020,0,613,1219,1,316,801,0,571,783,1,410,797,1207,509,244,105,328,681,2745,78,1181,2014
6,2014,ACC,35,4,1,15,3,1,25,10,79,64,4,2,4,Won National Final,1,Mike Krzyzewski (35-4),duke,duke,1181,1181,2014,1000715,duke,35,7025,929,2020,0,613,1219,1,316,801,0,571,783,1,410,797,1207,509,244,105,328,681,2745,78,1181,2014
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000834,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000880,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000904,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000916,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000880,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000904,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000916,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000920,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000924,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000920,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000924,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
5,2015,ACC,25,11,1,11,7,1,19,11,81,73,5,5,19,Lost Regional Semifinal,4,Mike Krzyzewski (25-11),duke,duke,1181,1181,2015,1000834,duke,39,7850,1099,2191,1,816,1459,1,283,732,0,610,873,1,445,991,1436,588,278,149,421,607,3091,79,1181,2015
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1000940,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1000998,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1001035,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1000940,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1000998,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
4,2016,ACC,28,9,1,11,7,1,22,11,81,70,1,1,7,Lost Second Round,2,Mike Krzyzewski (28-9),duke,duke,1181,1181,2016,1001035,duke,36,7250,983,2136,0,655,1285,1,328,851,0,626,866,1,426,870,1296,478,226,154,354,603,2920,81,1181,2016
3,2017,ACC,29,8,1,13,5,1,24,10,84,70,1,1,9,Lost Regional Final,2,Mike Krzyzewski (29-8),duke,duke,1181,1181,2017,1001106,duke,37,7400,1019,2144,0,708,1322,1,311,822,0,642,842,1,390,951,1341,484,226,172,421,675,2991,81,1181,2017
3,2017,ACC,29,8,1,13,5,1,24,10,84,70,1,1,9,Lost Regional Final,2,Mike Krzyzewski (29-8),duke,duke,1181,1181,2017,1001158,duke,37,7400,1019,2144,0,708,1322,1,311,822,0,642,842,1,390,951,1341,484,226,172,421,675,2991,81,1181,2017
3,2017,ACC,29,8,1,13,5,1,24,10,84,70,1,1,9,Lost Regional Final,2,Mike Krzyzewski (29-8),duke,duke,1181,1181,2017,1001106,duke,37,7400,1019,2144,0,708,1322,1,311,822,0,642,842,1,390,951,1341,484,226,172,421,675,2991,81,1181,2017
3,2017,ACC,29,8,1,13,5,1,24,10,84,70,1,1,9,Lost Regional Final,2,Mike Krzyzewski (29-8),duke,duke,1181,1181,2017,1001158,duke,37,7400,1019,2144,0,708,1322,1,311,822,0,642,842,1,390,951,1341,484,226,172,421,675,2991,81,1181,2017
2,2018,ACC,32,6,1,14,4,1,27,12,83,68,4,1,1,Lost Regional Final,1,Mike Krzyzewski (32-6),duke,duke,1181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2019,ACC,23,4,1,13,3,1,24,8,83,67,4,1,NULL,NULL,NULL,Mike Krzyzewski (23-4),duke,duke,1181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2008,OVC,18,13,1,10,8,1,-3,-5,73,67,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (18-13),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,OVC,20,13,1,11,7,1,-2,-5,71,67,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (20-13),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2010,OVC,15,16,0,9,9,1,-7,-6,66,63,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (15-16),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2011,OVC,16,16,1,7,9,0,-8,-6,66,66,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (16-16),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2012,OVC,25,10,1,12,4,1,2,-4,74,66,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (25-10),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2013,OVC,24,10,1,11,5,1,1,-4,79,71,NULL,NULL,NULL,Lost Second Round,15,Jeff Neubauer (24-10),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2014,OVC,21,12,1,11,5,1,0,-4,72,64,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (21-12),eastern-kentucky,eastern-kentucky,1184,1184,2014,1000709,eastern-kentucky,34,6824,881,1810,0,566,1003,1,315,807,0,600,798,1,243,641,884,498,299,67,359,707,2677,79,1184,2014
6,2014,OVC,21,12,1,11,5,1,0,-4,72,64,NULL,NULL,NULL,NULL,NULL,Jeff Neubauer (21-12),eastern-kentucky,eastern-kentucky,1184,1184,2014,1000709,eastern-kentucky,34,6824,881,1810,0,566,1003,1,315,807,0,600,798,1,243,641,884,498,299,67,359,707,2677,79,1184,2014
5,2015,OVC,15,16,0,6,10,0,-4,-4,81,79,NULL,NULL,NULL,NULL,NULL,Dan McHale (15-16),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2016,OVC,12,19,0,5,11,0,-9,-2,71,75,NULL,NULL,NULL,NULL,NULL,Dan McHale (12-19),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2017,OVC,11,20,0,5,13,0,-11,-4,72,77,NULL,NULL,NULL,NULL,NULL,Dan McHale (11-20),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2018,OVC,13,18,0,6,12,0,-7,-2,83,83,NULL,NULL,NULL,NULL,NULL,A.W. Hamilton (13-18),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2019,OVC,14,15,0,11,5,1,-10,-5,76,77,NULL,NULL,NULL,NULL,NULL,A.W. Hamilton (14-15),eastern-kentucky,eastern-kentucky,1184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2008,Big Sky,12,18,0,6,10,0,-7,-2,64,69,NULL,NULL,NULL,NULL,NULL,Kirk Earlywine (12-18),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,Big Sky,9,21,0,5,11,0,-12,-2,69,76,NULL,NULL,NULL,NULL,NULL,Kirk Earlywine (9-21),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,2010,Big Sky,10,20,0,7,9,0,-9,-2,67,71,NULL,NULL,NULL,NULL,NULL,Kirk Earlywine (10-20),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,2011,Big Sky,15,17,0,8,8,1,-4,-3,73,71,NULL,NULL,NULL,NULL,NULL,Jim Hayford (15-17),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,2012,Big Sky,10,21,0,7,13,0,-11,-5,69,75,NULL,NULL,NULL,NULL,NULL,Jim Hayford (10-21),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,2013,Big Sky,15,16,0,10,10,1,-5,-4,76,75,NULL,NULL,NULL,NULL,NULL,Jim Hayford (15-16),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2014,Big Sky,26,9,1,14,4,1,1,-4,81,74,NULL,NULL,NULL,Lost Second Round,13,Jim Hayford (26-9),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2015,Big Sky,18,16,1,10,8,1,-4,-6,81,77,NULL,NULL,NULL,NULL,NULL,Jim Hayford (18-16),eastern-washington,eastern-washington,1186,1186,2015,1000809,eastern-washington,35,7050,977,2045,0,633,1185,1,344,860,0,522,719,1,351,832,1183,454,219,167,376,624,2820,81,1186,2015
5,2015,Big Sky,18,16,1,10,8,1,-4,-6,81,77,NULL,NULL,NULL,NULL,NULL,Jim Hayford (18-16),eastern-washington,eastern-washington,1186,1186,2015,1000809,eastern-washington,35,7050,977,2045,0,633,1185,1,344,860,0,522,719,1,351,832,1183,454,219,167,376,624,2820,81,1186,2015
4,2016,Big Sky,22,12,1,13,5,1,-3,-4,79,76,NULL,NULL,NULL,NULL,NULL,Jim Hayford (22-12),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2017,Big Sky,20,15,1,13,5,1,0,-2,75,72,NULL,NULL,NULL,NULL,NULL,Shantay Legans (20-15),eastern-washington,eastern-washington,1186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
