Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team,SrNames,TeamID,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
12,2008,SEC,18,14,1,7,9,0,5,4,73,70,NULL,NULL,NULL,NULL,NULL,"Mark Gottfried (12-7)	alabama	alabama	1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
11	2009	SEC	17	15	1	6	10	0	10	7	69	65	NULL	NULL	NULL	NULL	NULL	Anthony Grant (17-15)	alabama	alabama	1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	2010	SEC	25	12	1	12	4	1	12	4	67	59	NULL	NULL	NULL	NULL	NULL	Anthony Grant (25-12)	alabama	alabama	1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9	2011	SEC	21	12	1	9	7	1	14	7	65	58	19	12	NULL	Lost Second Round	9	Anthony Grant (21-12)	alabama	alabama	1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	2012	SEC	23	13	1	12	6	1	10	6	63	58	NULL	NULL	NULL	NULL	NULL	Anthony Grant (23-13)	alabama	alabama	1104	1104	2012	1000433	alabama	33	6649	778	1722	0	642	1252	1	136	470	0	443	623	1	352	714	1066	402	239	137	423	607	2135	65	1104	2012
8	2012	SEC	23	13	1	12	6	1	10	6	63	58	NULL	NULL	NULL	NULL	NULL	Anthony Grant (23-13)	alabama	alabama	1104	1104	2012	1000433	alabama	33	6649	778	1722	0	642	1252	1	136	470	0	443	623	1	352	714	1066	402	239	137	423	607	2135	65	1104	2012
7	2013	SEC	13	19	0	7	11	0	8	9	68	67	NULL	NULL	NULL	NULL	NULL	Anthony Grant (13-19)	alabama	alabama	1104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
6	2014	SEC	19	15	1	8	10	0	11	8	67	64	NULL	NULL	NULL	NULL	NULL	Anthony Grant (18-14)",alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2015,SEC,18,15,1,8,10,0,7,9,67,68,NULL,NULL,NULL,NULL,NULL,Avery Johnson (18-15),alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2016,SEC,19,15,1,10,8,1,11,7,69,65,NULL,NULL,NULL,NULL,NULL,Avery Johnson (19-15),alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2017,SEC,20,16,1,8,10,0,12,11,72,71,NULL,24,NULL,Lost Second Round,9,Avery Johnson (20-16),alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2018,SEC,18,16,1,8,10,0,9,9,72,72,NULL,NULL,NULL,NULL,NULL,Avery Johnson (18-16),alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,2019,SEC,15,12,1,7,7,1,13,8,83,79,NULL,NULL,NULL,NULL,NULL,Nate Oats (15-12),alabama,alabama,1104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,2008,SWAC,22,10,1,16,2,1,-6,-11,69,63,NULL,NULL,NULL,Lost Opening Round,16,Lewis Jackson (22-10),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,2009,SWAC,16,15,1,12,6,1,-14,-12,65,66,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (16-15),alabama-state,alabama-state,1106,1106,2009,1000001,alabama-state,32,NULL,816,1752,0,635,1202,1,181,550,0,389,614,1,358,772,1130,445,182,153,435,558,2202,69,1106,2009
11,2009,SWAC,16,15,1,12,6,1,-14,-12,65,66,NULL,NULL,NULL,NULL,NULL,Lewis Jackson (16-15),alabama-state,alabama-state,1106,1106,2009,1000001,alabama-state,32,NULL,816,1752,0,635,1202,1,181,550,0,389,614,1,358,772,1130,445,182,153,435,558,2202,69,1106,2009
10,2010,SWAC,17,18,0,11,7,1,-13,-10,61,64,NULL,NULL,NULL,Lost First Round,16,Lewis Jackson (17-18),alabama-state,alabama-state,1106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
