Rk,Season,Conf,W,L,WLPercent,W2,L2,WL2Percent,SRS,SOS,PTS_z,PTS2,AP_Pre,AP_High,AP_Final,NCAA_Tour,Seed,Coaching,Team_z,schoolid,yearid,id,Team,G,MP,FG,FGA,FG_Percent,TwoP,TwoPA,TwoP_Percent,ThreeP,ThreePA,ThreeP_Percent,FT,FTA,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTSperG,Team_ID,Dates
11,2009,MVC,30,5,1,15,3,1,12,4,63,55,NULL,19,NULL,Lost Regional Semifinal,9,Ben Jacobson (30-5),northern-iowa,1320,2009,1000021,northern-iowa,34,6950,766,1692,0,549,1064,1,217,628,0,541,718,1,297,843,1140,418,146,83,397,619,2290,67,1320,2009
11,2009,Big 12,24,10,1,9,7,1,19,7,81,70,3,1,NULL,Lost First Round,8,Rick Barnes (24-10),texas,1400,2009,1000022,texas,35,7050,917,2063,0,751,1497,1,166,566,0,532,797,1,496,863,1359,448,217,187,442,674,2532,72,1400,2009
11,2009,Big Ten,21,14,1,9,9,1,16,7,72,64,25,22,NULL,Lost First Round,11,Tubby Smith (21-14),minnesota,1278,2009,1000023,minnesota,33,6625,782,1772,0,594,1197,0,188,575,0,437,611,1,397,739,1136,466,274,201,477,588,2189,66,1278,2009
11,2009,Big 12,24,10,1,11,5,1,15,10,71,65,NULL,16,23,Lost Second Round,5,Mark Turgeon (24-10),texas-am,1401,2009,1000024,texas-am,34,NULL,822,1831,0,620,1271,0,202,560,0,594,856,1,422,827,1249,427,164,133,432,585,2440,72,1401,2009
11,2009,MWC,30,6,1,13,3,1,19,3,83,66,NULL,12,17,Lost Second Round,7,Dave Rose (30-6),brigham-young,1140,2009,1000025,brigham-young,33,6625,909,1879,0,671,1255,1,238,624,0,488,669,1,302,894,1196,537,241,119,375,607,2544,77,1140,2009
11,2009,Pac-10,14,18,0,8,10,0,6,8,67,69,NULL,NULL,NULL,NULL,NULL,Ben Howland (14-18),ucla,1417,2009,1000026,ucla,35,7025,967,1973,0,705,1317,1,262,656,0,446,616,1,395,756,1151,541,292,110,440,598,2642,76,1417,2009
11,2009,CAA,27,9,1,11,7,1,10,1,76,66,NULL,NULL,NULL,NULL,NULL,Shaka Smart (27-9),virginia-commonwealth,1433,2009,1000027,virginia-commonwealth,34,NULL,866,1878,0,644,1277,1,222,601,0,486,689,1,362,790,1152,469,257,155,431,654,2440,72,1433,2009
11,2009,Big East,25,8,1,13,5,1,17,8,82,73,5,2,9,Lost Second Round,2,Jay Wright (25-8),villanova,1437,2009,1000028,villanova,38,NULL,990,2193,0,743,1492,0,247,701,0,692,919,1,477,972,1449,551,300,128,505,735,2919,77,1437,2009
11,2009,Patriot,11,20,0,7,7,1,-11,-7,63,67,NULL,NULL,NULL,NULL,NULL,Jeff Jones (11-20),american,1110,2009,1000029,american,32,6450,751,1614,0,521,999,1,230,615,0,333,514,1,302,744,1046,421,176,79,422,581,2065,65,1110,2009
11,2009,Sun Belt,21,13,1,12,6,1,2,-2,71,67,NULL,NULL,NULL,NULL,NULL,Ken McDonald (21-13),western-kentucky,1443,2009,1000030,western-kentucky,34,6800,871,1929,0,605,1215,0,266,714,0,446,647,1,432,819,1251,454,193,111,452,587,2454,72,1443,2009
11,2009,Big Ten,21,15,1,10,8,1,12,10,71,67,23,20,NULL,NULL,NULL,Bruce Weber (21-15),illinois,1228,2009,1000031,illinois,34,6850,859,1865,0,671,1328,1,188,537,0,298,419,1,320,807,1127,595,199,122,420,521,2204,65,1228,2009
11,2009,Pac-10,26,10,1,11,7,1,16,7,79,70,14,12,NULL,Lost Regional Semifinal,11,Lorenzo Romar (26-10),washington,1449,2009,1000032,washington,35,NULL,977,2136,0,831,1703,0,146,433,0,650,929,1,532,905,1437,458,259,95,515,683,2750,79,1449,2009
11,2009,SEC,24,12,1,9,7,1,13,5,73,65,18,18,NULL,NULL,NULL,Rick Stansbury (24-12),mississippi-state,1280,2009,1000033,mississippi-state,36,7325,890,2058,0,594,1239,0,296,819,0,601,847,1,407,977,1384,447,250,271,517,604,2677,74,1280,2009
11,2009,Pac-10,16,15,1,10,8,1,8,8,72,72,NULL,NULL,NULL,NULL,NULL,Sean Miller (16-15),arizona,1112,2009,1000034,arizona,35,7025,897,1892,0,685,1344,1,212,548,0,523,709,1,387,796,1183,500,217,104,442,548,2529,72,1112,2009
11,2009,MWC,14,17,0,7,9,0,4,4,66,66,NULL,NULL,NULL,NULL,NULL,Jim Boylen (14-17),utah,1428,2009,1000035,utah,34,6850,819,1727,0,577,1072,1,242,655,0,541,693,1,279,914,1193,458,171,166,469,632,2421,71,1428,2009
11,2009,Pac-10,22,11,1,12,6,1,14,6,67,59,NULL,NULL,NULL,NULL,NULL,Herb Sendek (22-11),arizona-state,1113,2009,1000036,arizona-state,35,7100,825,1718,0,537,940,1,288,778,0,490,665,1,288,797,1085,544,201,72,401,557,2428,69,1113,2009
11,2009,A-10,29,6,1,14,2,1,12,4,65,57,NULL,12,12,Lost First Round,5,Fran Dunphy (29-6),temple,1396,2009,1000037,temple,34,NULL,846,1908,0,588,1205,0,258,703,0,383,547,1,376,872,1248,527,189,141,426,581,2333,69,1396,2009
11,2009,Horizon,16,17,0,10,8,1,1,2,69,68,NULL,NULL,NULL,NULL,NULL,Gary Waters (16-17),cleveland-state,1156,2009,1000038,cleveland-state,37,7400,882,2043,0,702,1465,0,180,578,0,511,729,1,441,826,1267,512,320,118,454,680,2455,66,1156,2009
11,2009,ACC,20,11,1,9,7,1,11,9,73,70,NULL,23,NULL,Lost Second Round,9,Dino Gaudio (20-11),wake-forest,1448,2009,1000039,wake-forest,31,NULL,906,1849,0,780,1455,1,126,394,0,572,804,1,390,872,1262,405,258,176,492,584,2510,81,1448,2009
11,2009,A-10,25,12,1,8,8,1,13,6,70,62,21,18,NULL,NULL,NULL,Brian Gregory (25-12),dayton,1173,2009,1000040,dayton,35,7050,831,1972,0,641,1393,0,190,579,0,487,752,1,484,844,1328,485,227,124,475,672,2339,67,1173,2009
