Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,Team_ID,Date
radford,33.0,6725.0,884,1917,.461,721,1454,.496,163,463,.352,560,825,.679,418,954,1372,466,225,154,539,607,2491,75.5,1347,2009.0
morgan-state,35.0,,857,2047,.419,676,1510,.448,181,537,.337,438,675,.649,508,822,1330,393,232,110,456,673,2333,66.7,1288,2009.0
northern-iowa,34.0,6950.0,766,1692,.453,549,1064,.516,217,628,.346,541,718,.753,297,843,1140,418,146,83,397,619,2290,67.4,1320,2009.0
minnesota,33.0,6625.0,782,1772,.441,594,1197,.496,188,575,.327,437,611,.715,397,739,1136,466,274,201,477,588,2189,66.3,1278,2009.0
brigham-young,33.0,6625.0,909,1879,.484,671,1255,.535,238,624,.381,488,669,.729,302,894,1196,537,241,119,375,607,2544,77.1,1140,2009.0
virginia-commonwealth,34.0,,866,1878,.461,644,1277,.504,222,601,.369,486,689,.705,362,790,1152,469,257,155,431,654,2440,71.8,1433,2009.0
american,32.0,6450.0,751,1614,.465,521,999,.522,230,615,.374,333,514,.648,302,744,1046,421,176,79,422,581,2065,64.5,1110,2009.0
illinois,34.0,6850.0,859,1865,.461,671,1328,.505,188,537,.350,298,419,.711,320,807,1127,595,199,122,420,521,2204,64.8,1228,2009.0
mississippi-state,36.0,7325.0,890,2058,.432,594,1239,.479,296,819,.361,601,847,.710,407,977,1384,447,250,271,517,604,2677,74.4,1280,2009.0
utah,34.0,6850.0,819,1727,.474,577,1072,.538,242,655,.369,541,693,.781,279,914,1193,458,171,166,469,632,2421,71.2,1428,2009.0
temple,34.0,,846,1908,.443,588,1205,.488,258,703,.367,383,547,.700,376,872,1248,527,189,141,426,581,2333,68.6,1396,2009.0
wake-forest,31.0,,906,1849,.490,780,1455,.536,126,394,.320,572,804,.711,390,872,1262,405,258,176,492,584,2510,81.0,1448,2009.0
west-virginia,35.0,7025.0,886,2067,.429,655,1364,.480,231,703,.329,518,742,.698,532,808,1340,530,233,159,420,661,2521,72.0,1452,2009.0
north-dakota-state,33.0,6725.0,943,1936,.487,705,1358,.519,238,578,.412,535,724,.739,363,808,1171,486,230,108,370,539,2659,80.6,1295,2009.0
utah-state,35.0,,899,1813,.496,677,1250,.542,222,563,.394,514,695,.740,365,837,1202,566,168,88,393,539,2534,72.4,1429,2009.0
robert-morris,35.0,,880,1859,.473,654,1286,.509,226,573,.394,481,683,.704,353,808,1161,536,301,121,530,693,2467,70.5,1352,2009.0
cornell,31.0,,821,1736,.473,580,1149,.505,241,587,.411,398,545,.730,321,784,1105,482,203,121,398,556,2281,73.6,1165,2009.0
tennessee,34.0,6825.0,957,2105,.455,728,1377,.529,229,728,.315,522,772,.676,485,831,1316,554,225,124,452,647,2665,78.4,1397,2009.0
east-tennessee-state,34.0,,944,2044,.462,749,1454,.515,195,590,.331,574,810,.709,395,895,1290,429,287,131,477,622,2657,78.1,1190,2009.0
ohio-state,33.0,6675.0,778,1618,.481,562,1042,.539,216,576,.375,434,619,.701,266,758,1024,440,194,175,439,501,2206,66.8,1326,2009.0
stephen-f-austin,32.0,6475.0,786,1795,.438,609,1234,.494,177,561,.316,350,539,.649,311,815,1126,421,200,100,384,582,2099,65.6,1372,2009.0
boston-college,34.0,6850.0,885,2000,.443,668,1351,.494,217,649,.334,541,733,.738,485,774,1259,503,208,147,457,614,2528,74.4,1130,2009.0
florida-state,35.0,7050.0,820,1886,.435,604,1255,.481,216,631,.342,536,739,.725,399,854,1253,423,284,202,548,657,2392,68.3,1199,2009.0
portland-state,33.0,,861,1899,.453,544,1064,.511,317,835,.380,378,557,.679,388,728,1116,503,245,93,453,553,2417,73.2,1340,2009.0
arkansas-pine-bluff,34.0,6900.0,725,1778,.408,584,1312,.445,141,466,.303,575,861,.668,422,864,1286,421,229,121,569,764,2166,63.7,1115,2010.0
baylor,36.0,7250.0,993,2040,.487,738,1378,.536,255,662,.385,530,731,.725,443,965,1408,508,237,242,491,639,2771,77.0,1124,2010.0
butler,38.0,7625.0,845,1911,.442,585,1150,.509,260,761,.342,661,896,.738,353,888,1241,464,267,86,456,685,2611,68.7,1139,2010.0
brigham-young,36.0,7250.0,1025,2120,.483,733,1420,.516,292,700,.417,650,823,.790,367,965,1332,567,307,126,417,621,2992,83.1,1140,2010.0
kansas,36.0,7250.0,1033,2111,.489,771,1463,.527,262,648,.404,609,871,.699,468,989,1457,609,301,232,470,658,2937,81.6,1242,2010.0
kansas-state,37.0,7500.0,981,2182,.450,728,1479,.492,253,703,.360,734,1098,.668,559,878,1437,541,274,187,529,828,2949,79.7,1243,2010.0
