team_1_score,team_2_score,team_1_id,team_2_id,game_id
63,52,100269,100302,265
80,76,100270,100303,266
63,82,100304,100271,267
45,71,100305,100272,268
75,80,100306,100273,269
49,66,100307,100274,270
73,76,100308,100275,271
78,79,100309,100276,272
51,58,100310,100277,273
77,80,100311,100278,274
65,60,100279,100312,275
72,53,100280,100313,276
53,78,100314,100281,277
96,76,100282,100260,278
59,43,100283,100315,279
85,52,100284,100316,280
61,52,100285,100317,281
75,56,100286,100318,282
66,58,100287,100319,283
44,53,100320,100288,284
102,100,100289,100321,285
71,58,100290,100322,286
76,64,100291,100323,287
80,70,100292,100324,288
67,70,100272,100261,289
72,55,100262,100263,290
62,90,100270,100264,291
72,91,100265,100268,292
65,70,100275,100271,293
72,70,100273,100267,294
78,75,100274,100269,295
84,80,100276,100266,296
57,54,100279,100277,297
92,68,100280,100278,298
78,63,100281,100287,299
70,53,100286,100283,300
55,59,100291,100288,301
75,76,100282,100289,302
75,73,100290,100285,303
74,89,100284,100292,304
80,71,100261,100273,305
73,53,100262,100290,306
51,63,100288,100286,307
84,80,100271,100276,308
62,72,100280,100264,309
67,72,100268,100279,310
74,100,100289,100281,311
71,79,100274,100292,312
71,87,100261,100262,313
64,62,100286,100271,314
66,63,100264,100292,315
79,71,100279,100281,316
78,79,100264,100262,317
67,65,100279,100286,318
73,82,100279,100262,319
69,79,100358,100325,320
66,53,100326,100359,321
85,65,100327,100360,322
64,76,100361,100328,323
74,64,100329,100362,324
55,67,100363,100330,325
72,64,100331,100364,326
57,61,100365,100332,327
67,84,100366,100333,328
71,79,100367,100334,329
66,78,100368,100335,330
68,82,100369,100336,331
54,60,100370,100337,332
54,70,100371,100338,333
77,88,100372,100339,334
63,61,100340,100373,335
73,83,100374,100341,336
63,64,100375,100342,337
77,71,100343,100376,338
46,57,100377,100344,339
62,67,100378,100345,340
68,80,100379,100346,341
64,53,100347,100380,342
68,62,100348,100381,343
81,89,100382,100349,344
70,93,100383,100350,345
63,75,100384,100351,346
96,68,100352,100325,347
63,50,100353,100385,348
56,65,100386,100354,349
57,60,100387,100355,350
55,47,100356,100388,351
57,52,100357,100389,352
85,63,100326,100336,353
71,59,100330,100332,354
60,69,100328,100331,355
71,69,100335,100329,356
58,67,100333,100337,357
97,79,100339,100334,358
105,111,100338,100340,359
75,83,100327,100341,360
63,55,100344,100350,361
54,76,100346,100348,362
72,61,100349,100355,363
65,62,100351,100343,364
92,65,100352,100347,365
85,77,100353,100354,366
76,65,100356,100345,367
71,62,100357,100342,368
78,79,100353,100326,369
63,77,100341,100330,370
93,79,100348,100339,371
60,65,100335,100340,372
62,52,100331,100337,373
78,68,100349,100344,374
67,66,100352,100356,375
56,65,100351,100357,376
90,89,100330,100326,377
85,93,100340,100348,378
88,94,100331,100349,379
88,82,100352,100357,380
72,57,100330,100348,381
71,87,100349,100352,382
70,75,100330,100352,383
49,71,100423,100390,384
85,90,100424,100391,385
88,76,100392,100425,386
70,54,100393,100426,387
76,50,100394,100427,388
85,88,100428,100395,389
75,79,100429,100396,390
78,69,100397,100430,391
87,83,100398,100431,392
64,80,100432,100399,393
87,79,100400,100433,394
61,63,100434,100401,395
66,58,100402,100435,396
44,78,100436,100403,397
75,61,100404,100437,398
82,74,100405,100438,399
66,86,100439,100406,400
94,75,100407,100440,401
77,73,100408,100441,402
55,59,100442,100409,403
72,59,100410,100443,404
75,65,100411,100444,405
49,54,100445,100412,406
69,64,100413,100446,407
78,94,100447,100414,408
52,58,100448,100415,409
69,65,100416,100449,410
64,63,100417,100450,411
70,62,100418,100451,412
79,64,100419,100452,413
52,60,100453,100420,414
58,45,100421,100390,415
46,64,100454,100422,416
69,56,100392,100400,417
61,74,100395,100393,418
82,60,100394,100405,419
80,90,100398,100396,420
57,58,100402,100399,421
62,59,100403,100391,422
67,64,100404,100397,423
73,80,100401,100406,424
66,72,100419,100408,425
87,83,100410,100413,426
60,65,100416,100411,427
52,70,100418,100412,428
56,72,100409,100414,429
75,54,100420,100415,430
78,82,100407,100421,431
54,67,100417,100422,432
54,62,100393,100399,433
64,80,100408,100414,434
71,74,100422,100420,435
73,71,100403,100396,436
98,92,100410,100404,437
57,53,100394,100412,438
55,63,100406,100411,439
59,60,100392,100421,440
70,60,100399,100420,441
45,50,100414,100403,442
62,75,100421,100394,443
86,84,100411,100410,444
73,58,100394,100411,445
59,45,100403,100399,446
57,73,100403,100394,447
77,69,100455,100488,448
84,75,100456,100489,449
46,57,100490,100457,450
55,80,100491,100458,451
70,57,100459,100492,452
78,58,100460,100493,453
70,82,100494,100461,454
49,61,100495,100462,455
65,86,100496,100463,456
78,57,100464,100497,457
79,58,100465,100498,458
52,68,100499,100466,459
70,42,100467,100500,460
77,79,100501,100468,461
77,44,100469,100502,462
70,54,100470,100503,463
77,79,100504,100471,464
112,69,100472,100505,465
107,67,100473,100455,466
67,58,100474,100506,467
58,73,100507,100475,468
71,77,100508,100476,469
56,58,100509,100477,470
72,63,100478,100510,471
61,51,100479,100511,472
86,121,100512,100480,473
79,67,100481,100513,474
67,63,100482,100514,475
60,77,100515,100483,476
57,84,100516,100484,477
54,52,100485,100517,478
74,64,100486,100518,479
63,76,100519,100487,480
62,59,100457,100461,481
62,55,100458,100456,482
67,81,100462,100463,483
78,71,100464,100471,484
84,79,100465,100468,485
72,69,100466,100460,486
49,54,100459,100467,487
78,74,100469,100470,488
74,67,100472,100478,489
88,76,100473,100474,490
62,78,100476,100475,491
75,61,100477,100486,492
48,63,100485,100479,493
77,74,100480,100484,494
68,74,100487,100482,495
87,68,100483,100481,496
61,58,100473,100479,497
65,64,100475,100466,498
84,85,100480,100464,499
64,55,100467,100465,500
57,65,100457,100472,501
65,66,100469,100458,502
64,74,100483,100463,503
76,72,100477,100482,504
76,92,100475,100464,505
68,55,100467,100473,506
77,85,100477,100472,507
96,84,100458,100463,508
66,76,100467,100472,509
67,60,100464,100458,510
84,75,100472,100464,511
60,69,100553,100520,512
71,70,100521,100554,513
61,85,100555,100522,514
67,80,100556,100523,515
66,74,100557,100524,516
61,72,100558,100525,517
50,68,100559,100526,518
63,82,100560,100527,519
90,79,100528,100561,520
53,77,100562,100529,521
67,62,100530,100563,522
70,29,100531,100564,523
58,71,100565,100532,524
40,71,100566,100533,525
75,65,100534,100567,526
56,71,100568,100535,527
73,61,100536,100569,528
72,86,100570,100537,529
61,81,100571,100538,530
76,82,100572,100539,531
47,66,100573,100540,532
61,79,100574,100541,533
87,63,100542,100575,534
64,78,100576,100543,535
69,76,100577,100544,536
113,74,100545,100520,537
64,72,100578,100546,538
69,70,100579,100547,539
83,62,100548,100580,540
57,72,100581,100549,541
74,54,100550,100582,542
69,75,100583,100551,543
99,101,100584,100552,544
75,56,100522,100532,545
54,65,100527,100525,546
82,81,100529,100524,547
49,51,100530,100531,548
41,61,100526,100533,549
67,73,100521,100534,550
55,72,100523,100535,551
85,78,100536,100528,552
70,74,100540,100539,553
78,48,100541,100546,554
74,77,100544,100542,555
77,108,100537,100545,556
76,71,100549,100538,557
72,75,100543,100550,558
72,84,100548,100551,559
63,72,100547,100552,560
79,60,100541,100549,561
68,47,100545,100533,562
78,88,100552,100531,563
75,79,100534,100536,564
73,56,100539,100535,565
57,72,100551,100522,566
92,74,100542,100525,567
62,82,100529,100550,568
73,83,100541,100545,569
57,76,100536,100531,570
59,57,100522,100539,571
85,67,100542,100550,572
66,84,100545,100522,573
63,78,100531,100542,574
75,68,100522,100542,575
43,58,100618,100585,576
103,47,100586,100619,577
86,62,100587,100620,578
64,77,100621,100588,579
75,71,100589,100622,580
71,84,100623,100590,581
81,70,100591,100624,582
62,59,100592,100625,583
101,58,100593,100626,584
54,82,100627,100594,585
56,61,100628,100595,586
76,62,100596,100629,587
79,66,100597,100630,588
64,65,100631,100598,589
80,67,100599,100632,590
72,76,100633,100600,591
58,71,100634,100601,592
71,84,100635,100602,593
57,66,100636,100603,594
69,84,100637,100604,595
60,68,100638,100605,596
74,84,100639,100606,597
54,74,100585,100607,598
57,58,100640,100608,599
77,62,100609,100641,600
59,78,100642,100610,601
75,77,100643,100611,602
72,62,100612,100644,603
72,74,100645,100613,604
59,44,100614,100646,605
72,55,100615,100647,606
61,59,100616,100648,607
77,59,100617,100649,608
92,66,100586,100597,609
74,69,100587,100596,610
83,81,100588,100600,611
89,70,100591,100590,612
84,70,100593,100589,613
63,73,100592,100594,614
74,76,100601,100595,615
69,89,100598,100599,616
57,71,100604,100602,617
43,60,100605,100606,618
79,72,100607,100613,619
74,69,100609,100615,620
83,79,100610,100608,621
76,84,100611,100612,622
67,78,100603,100614,623
49,60,100616,100617,624
60,72,100595,100586,625
91,102,100591,100610,626
55,60,100617,100612,627
77,54,100599,100587,628
64,103,100602,100607,629
67,62,100609,100606,630
77,98,100588,100593,631
71,84,100614,100594,632
82,75,100586,100610,633
76,78,100612,100599,634
64,52,100609,100607,635
60,72,100594,100593,636
82,73,100609,100586,637
83,69,100593,100599,638
72,89,100609,100593,639
61,44,100650,100683,640
59,68,100684,100651,641
77,59,100652,100685,642
92,99,100686,100653,643
90,74,100654,100687,644
62,82,100688,100655,645
100,71,100656,100689,646
66,65,100657,100690,647
62,57,100658,100691,648
66,69,100692,100659,649
97,83,100660,100693,650
50,51,100694,100661,651
71,80,100695,100662,652
62,59,100663,100696,653
70,73,100697,100664,654
81,80,100665,100698,655
80,78,100666,100699,656
62,77,100700,100667,657
78,65,100668,100701,658
44,73,100650,100669,659
64,59,100670,100702,660
67,60,100671,100703,661
89,77,100672,100704,662
70,67,100673,100705,663
78,86,100706,100674,664
68,51,100675,100707,665
89,66,100676,100708,666
72,64,100677,100709,667
79,56,100678,100710,668
69,53,100679,100711,669
50,77,100712,100680,670
49,53,100713,100681,671
54,65,100714,100682,672
68,76,100661,100651,673
54,52,100652,100657,674
72,84,100653,100655,675
90,60,100656,100665,676
69,67,100659,100654,677
75,68,100662,100664,678
68,83,100660,100663,679
82,64,100666,100658,680
69,87,100681,100668,681
68,53,100669,100667,682
85,83,100673,100672,683
75,66,100675,100670,684
63,61,100677,100679,685
87,65,100678,100671,686
68,59,100680,100674,687
68,71,100676,100682,688
63,59,100652,100678,689
101,96,100655,100682,690
62,45,100656,100668,691
69,56,100680,100666,692
72,49,100651,100662,693
57,70,100677,100669,694
52,59,100659,100673,695
73,76,100675,100663,696
56,63,100655,100652,697
73,66,100680,100656,698
71,78,100651,100669,699
69,70,100663,100673,700
52,50,100652,100673,701
78,57,100669,100680,702
59,61,100652,100669,703
52,70,100750,100715,704
81,77,100716,100751,705
61,70,100752,100717,706
46,59,100753,100718,707
60,58,100719,100754,708
74,66,100720,100755,709
63,78,100756,100721,710
52,81,100757,100722,711
79,51,100723,100758,712
86,71,100724,100759,713
73,68,100725,100760,714
59,57,100726,100761,715
