team_id,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
100035,849,1823,0.466,684,1320,0.518,165,503,0.32799999999999996,406,577,0.7040000000000001,382.0,663.0,1045,518,286,136,490.0,569.0,73.2,.613,14.93,8.76,66.2,7
100036,832,1845,0.451,684,1429,0.479,148,416,0.35600000000000004,470,665,0.7070000000000001,443.0,819.0,1262,451,276,156,479.0,554.0,73.6,.806,0.42,-9.55,63.6,15
100037,767,1716,0.447,590,1204,0.49,177,512,0.34600000000000003,425,643,0.6609999999999999,431.0,700.0,1131,386,257,87,488.0,560.0,68.9,.677,9.45,5.29,64.7,12
100038,748,1680,0.445,555,1122,0.495,193,558,0.34600000000000003,465,662,0.7020000000000001,346.0,794.0,1140,383,188,164,478.0,542.0,69.5,.774,4.42,-2.48,61.6,13
100039,846,1877,0.451,699,1450,0.48200000000000004,147,427,0.344,604,833,0.725,444.0,828.0,1272,529,233,216,557.0,607.0,78.8,.645,-1.22,-4.13,75.9,14
100040,758,1702,0.445,530,1083,0.489,228,619,0.368,384,590,0.6509999999999999,399.0,773.0,1172,459,236,120,535.0,556.0,66.5,.594,-2.89,-3.71,62.7,16
100041,733,1719,0.426,482,1017,0.474,251,702,0.358,476,717,0.664,394.0,777.0,1171,406,215,104,474.0,584.0,73.1,.700,-1.04,-7.41,64.7,14
100042,752,1735,0.433,534,1145,0.466,218,590,0.369,492,690,0.713,447.0,706.0,1153,412,215,70,429.0,559.0,71.4,.710,9.95,3.46,64.9,11
100043,775,1626,0.47700000000000004,512,953,0.537,263,673,0.391,467,622,0.7509999999999999,295.0,806.0,1101,493,120,96,514.0,574.0,73.5,.645,4.34,1.37,68.8,15
100044,825,1649,0.5,512,845,0.606,313,804,0.389,360,515,0.6990000000000001,267.0,729.0,996,543,230,102,438.0,532.0,72.6,.656,3.20,-5.80,62.4,13
100045,756,1739,0.435,595,1286,0.46299999999999997,161,453,0.355,463,657,0.705,314.0,744.0,1058,406,292,104,421.0,549.0,66.8,.688,6.54,3.22,63.4,12
100046,834,1840,0.45299999999999996,619,1302,0.475,215,538,0.4,417,681,0.612,398.0,740.0,1138,428,258,131,420.0,530.0,74.2,.710,7.84,3.17,69.0,11
100047,729,1696,0.43,583,1264,0.461,146,432,0.33799999999999997,520,758,0.6859999999999999,394.0,770.0,1164,401,254,126,586.0,665.0,64.4,.576,9.00,8.39,63.8,9
100048,1021,2167,0.47100000000000003,742,1373,0.54,279,794,0.35100000000000003,478,680,0.703,422.0,887.0,1309,654,282,161,509.0,597.0,82.3,.706,9.17,3.58,76.7,9
100049,667,1609,0.415,491,1136,0.43200000000000005,176,473,0.37200000000000005,353,561,0.629,323.0,752.0,1075,375,221,67,566.0,566.0,60.1,.581,2.41,-0.24,57.5,15
100050,879,1888,0.466,685,1352,0.507,194,536,0.36200000000000004,445,709,0.628,415.0,818.0,1233,487,235,126,453.0,580.0,70.5,.824,8.83,1.89,61.2,12
100051,672,1725,0.39,456,1082,0.42100000000000004,216,643,0.336,389,567,0.6859999999999999,381.0,747.0,1128,408,225,86,486.0,530.0,62.9,.484,-6.16,-3.84,65.2,16
100052,753,1599,0.47100000000000003,600,1193,0.503,153,406,0.377,448,680,0.659,322.0,732.0,1054,430,237,88,391.0,513.0,68.0,.742,12.23,0.01,55.7,12
100053,707,1565,0.452,518,1027,0.504,189,538,0.35100000000000003,339,526,0.644,310.0,746.0,1056,436,158,119,369.0,475.0,67.0,.724,4.00,-2.89,60.1,13
100054,877,1935,0.45299999999999996,682,1372,0.49700000000000005,195,563,0.34600000000000003,438,655,0.669,518.0,784.0,1302,494,267,126,538.0,597.0,72.3,.636,14.67,7.83,64.3,9
100055,931,2168,0.429,639,1336,0.478,292,832,0.35100000000000003,375,622,0.603,451.0,708.0,1159,458,379,120,494.0,705.0,74.4,.559,12.37,7.76,69.8,11
100056,771,1822,0.423,480,1018,0.47200000000000003,291,804,0.36200000000000004,469,661,0.71,335.0,704.0,1039,426,275,61,412.0,601.0,74.3,.581,12.55,8.22,69.9,9
100057,915,1882,0.486,715,1367,0.523,200,515,0.38799999999999996,500,705,0.7090000000000001,374.0,777.0,1151,534,325,127,506.0,627.0,79.1,.719,2.49,-3.75,69.6,14
100058,827,1813,0.456,602,1186,0.508,225,627,0.359,428,623,0.687,390.0,735.0,1125,435,270,121,415.0,565.0,74.4,.774,5.23,-6.03,63.2,14
100059,811,1697,0.478,684,1361,0.503,127,336,0.37799999999999995,504,711,0.7090000000000001,329.0,799.0,1128,466,217,141,424.0,524.0,77.7,.690,19.43,10.22,68.4,6
100060,808,1722,0.469,636,1170,0.544,172,552,0.312,481,646,0.745,336.0,701.0,1037,491,206,88,469.0,592.0,75.6,.733,14.74,8.53,68.2,7
100061,829,2117,0.392,616,1479,0.41600000000000004,213,638,0.33399999999999996,515,765,0.6729999999999999,590.0,803.0,1393,370,237,138,485.0,485.0,70.2,.588,-10.41,-9.38,71.2,16
